2023-04-14 16:11:07.4384 | 0 | INFO | Server.DAL.Repositories.AirportRepository | AirportRepository: Log added!  | url: https://localhost/api/flights | action: Post | Server.DAL.Repositories.AirportRepository.AddLogAsync
2023-04-14 16:11:07.4384 | 0 | INFO | WebAPI.Services.FlightsLogsHubContext | FlightsLogsHubContext: Sending new flight log to clients...  | url: https://localhost/api/flights | action: Post | WebAPI.Services.FlightsLogsHubContext.SendFlightLogAsync
2023-04-14 16:11:07.4384 | 0 | INFO | WebAPI.Services.FlightsLogsHubContext | FlightsLogsHubContext: Flight log sent!  | url: https://localhost/api/flights | action: Post | WebAPI.Services.FlightsLogsHubContext.SendFlightLogAsync
2023-04-14 16:11:07.4384 | 0 | INFO | Server.Services.FlightsManagerService | FlightsManagerService: Flight number: cc328fc6 (id: 2) - Flight brand: Elimelech Airlines - Passengers count: 123 - Is-Departing: False - Is now in leg: Fifth - Waiting: 3 seconds to cross  | url: https://localhost/api/flights | action: Post | Server.Services.FlightsManagerService.MoveToNextLeg
2023-04-14 16:11:10.4603 | 0 | INFO | Server.DAL.Repositories.AirportRepository | AirportRepository: Trying to update leg (Sixth) in context...  | url: https://localhost/api/flights | action: Post | Server.DAL.Repositories.AirportRepository.UpdateLegAsync
2023-04-14 16:11:10.4603 | 0 | INFO | Server.DAL.Repositories.AirportRepository | AirportRepository: Leg (Sixth) updated in context!  | url: https://localhost/api/flights | action: Post | Server.DAL.Repositories.AirportRepository.UpdateLegAsync
2023-04-14 16:11:10.4603 | 0 | INFO | Server.DAL.Repositories.AirportRepository | AirportRepository: Trying to update leg (Fifth) in context...  | url: https://localhost/api/flights | action: Post | Server.DAL.Repositories.AirportRepository.UpdateLegAsync
2023-04-14 16:11:10.4603 | 0 | INFO | Server.DAL.Repositories.AirportRepository | AirportRepository: Leg (Fifth) updated in context!  | url: https://localhost/api/flights | action: Post | Server.DAL.Repositories.AirportRepository.UpdateLegAsync
2023-04-14 16:11:10.4603 | 0 | INFO | Server.DAL.Repositories.AirportRepository | AirportRepository: Trying to update legs in database...  | url: https://localhost/api/flights | action: Post | Server.DAL.Repositories.AirportRepository.UpdateLegsAsync
2023-04-14 16:11:10.4699 | 0 | INFO | Server.DAL.Repositories.AirportRepository | AirportRepository: Legs updated in database!  | url: https://localhost/api/flights | action: Post | Server.DAL.Repositories.AirportRepository.UpdateLegsAsync
